country,ssp_range,year_range,p0.05,p0.50,p0.95
Aruba,SSP2-4.5,1986-2005,0.00,0.00,0.00
Aruba,SSP2-4.5,2020-2039,0.00,0.00,0.00
Aruba,SSP2-4.5,2040-2059,0.00,0.00,0.00
Aruba,SSP2-4.5,2080-2099,0.00,0.00,0.00
Afghanistan,SSP2-4.5,1986-2005,28.52,29.36,30.78
Afghanistan,SSP2-4.5,2020-2039,33.86,36.47,41.35
Afghanistan,SSP2-4.5,2040-2059,37.74,41.26,46.70
Afghanistan,SSP2-4.5,2080-2099,41.38,47.82,56.58
Angola,SSP2-4.5,1986-2005,3.27,3.75,5.06
Angola,SSP2-4.5,2020-2039,6.63,8.52,10.30
Angola,SSP2-4.5,2040-2059,8.89,11.67,16.35
Angola,SSP2-4.5,2080-2099,11.43,18.19,30.78
Anguilla,SSP2-4.5,1986-2005,0.00,0.00,0.00
Anguilla,SSP2-4.5,2020-2039,0.00,0.00,0.00
Anguilla,SSP2-4.5,2040-2059,0.00,0.00,0.00
Anguilla,SSP2-4.5,2080-2099,0.00,0.00,0.00
Åland Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Åland Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Åland Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Åland Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Albania,SSP2-4.5,1986-2005,0.23,0.48,0.73
Albania,SSP2-4.5,2020-2039,1.35,2.03,4.24
Albania,SSP2-4.5,2040-2059,1.98,3.52,6.11
Albania,SSP2-4.5,2080-2099,2.55,6.83,14.20
Andorra,SSP2-4.5,1986-2005,0.00,0.00,0.00
Andorra,SSP2-4.5,2020-2039,0.00,0.00,0.00
Andorra,SSP2-4.5,2040-2059,0.00,0.00,0.00
Andorra,SSP2-4.5,2080-2099,0.00,0.00,0.01
United Arab Emirates,SSP2-4.5,1986-2005,154.56,157.57,160.30
United Arab Emirates,SSP2-4.5,2020-2039,170.40,175.44,181.45
United Arab Emirates,SSP2-4.5,2040-2059,177.33,183.08,192.52
United Arab Emirates,SSP2-4.5,2080-2099,183.94,195.84,203.88
Argentina,SSP2-4.5,1986-2005,10.05,11.68,12.64
Argentina,SSP2-4.5,2020-2039,13.14,17.55,22.34
Argentina,SSP2-4.5,2040-2059,17.30,20.98,25.50
Argentina,SSP2-4.5,2080-2099,19.79,25.45,31.48
Armenia,SSP2-4.5,1986-2005,0.21,0.37,0.49
Armenia,SSP2-4.5,2020-2039,0.89,1.45,3.38
Armenia,SSP2-4.5,2040-2059,1.60,2.92,5.09
Armenia,SSP2-4.5,2080-2099,2.03,6.02,13.16
American Samoa,SSP2-4.5,1986-2005,0.00,0.00,0.00
American Samoa,SSP2-4.5,2020-2039,0.00,0.00,0.00
American Samoa,SSP2-4.5,2040-2059,0.00,0.00,0.00
American Samoa,SSP2-4.5,2080-2099,0.00,0.00,0.00
Antarctica,SSP2-4.5,1986-2005,0.00,0.00,0.00
Antarctica,SSP2-4.5,2020-2039,0.00,0.00,0.00
Antarctica,SSP2-4.5,2040-2059,0.00,0.00,0.00
Antarctica,SSP2-4.5,2080-2099,0.00,0.00,0.00
French Southern Territories,SSP2-4.5,1986-2005,0.00,0.00,0.00
French Southern Territories,SSP2-4.5,2020-2039,0.00,0.00,0.00
French Southern Territories,SSP2-4.5,2040-2059,0.00,0.00,0.00
French Southern Territories,SSP2-4.5,2080-2099,0.00,0.00,0.00
