country,ssp_range,year_range,p0.05,p0.50,p0.95
Aruba,SSP2-4.5,1986-2005,0.00,0.00,0.00
Aruba,SSP2-4.5,2020-2039,0.00,0.00,0.00
Aruba,SSP2-4.5,2040-2059,0.00,0.00,0.00
Aruba,SSP2-4.5,2080-2099,0.00,0.00,0.00
Afghanistan,SSP2-4.5,1986-2005,111.92,113.17,118.13
Afghanistan,SSP2-4.5,2020-2039,91.77,100.38,105.44
Afghanistan,SSP2-4.5,2040-2059,85.33,93.15,98.73
Afghanistan,SSP2-4.5,2080-2099,66.40,86.29,94.96
Angola,SSP2-4.5,1986-2005,0.00,0.00,0.00
Angola,SSP2-4.5,2020-2039,0.00,0.00,0.00
Angola,SSP2-4.5,2040-2059,0.00,0.00,0.00
Angola,SSP2-4.5,2080-2099,0.00,0.00,0.00
Anguilla,SSP2-4.5,1986-2005,0.00,0.00,0.00
Anguilla,SSP2-4.5,2020-2039,0.00,0.00,0.00
Anguilla,SSP2-4.5,2040-2059,0.00,0.00,0.00
Anguilla,SSP2-4.5,2080-2099,0.00,0.00,0.00
Åland Islands,SSP2-4.5,1986-2005,83.50,93.39,113.49
Åland Islands,SSP2-4.5,2020-2039,45.77,65.43,81.44
Åland Islands,SSP2-4.5,2040-2059,33.08,54.31,68.48
Åland Islands,SSP2-4.5,2080-2099,21.10,44.63,65.90
Albania,SSP2-4.5,1986-2005,43.18,49.95,54.09
Albania,SSP2-4.5,2020-2039,33.42,37.02,42.84
Albania,SSP2-4.5,2040-2059,28.19,35.04,41.16
Albania,SSP2-4.5,2080-2099,24.02,29.69,38.51
Andorra,SSP2-4.5,1986-2005,146.88,154.16,160.74
Andorra,SSP2-4.5,2020-2039,126.70,134.82,140.80
Andorra,SSP2-4.5,2040-2059,121.09,127.64,136.21
Andorra,SSP2-4.5,2080-2099,99.36,120.58,130.18
United Arab Emirates,SSP2-4.5,1986-2005,0.00,0.00,0.00
United Arab Emirates,SSP2-4.5,2020-2039,0.00,0.00,0.00
United Arab Emirates,SSP2-4.5,2040-2059,0.00,0.00,0.00
United Arab Emirates,SSP2-4.5,2080-2099,0.00,0.00,0.00
Argentina,SSP2-4.5,1986-2005,23.70,24.98,28.13
Argentina,SSP2-4.5,2020-2039,20.77,21.91,23.67
Argentina,SSP2-4.5,2040-2059,18.00,20.14,21.73
Argentina,SSP2-4.5,2080-2099,14.20,17.95,20.15
Armenia,SSP2-4.5,1986-2005,142.14,145.56,149.58
Armenia,SSP2-4.5,2020-2039,115.46,129.77,140.28
Armenia,SSP2-4.5,2040-2059,116.36,126.02,134.63
Armenia,SSP2-4.5,2080-2099,91.64,118.16,126.36
American Samoa,SSP2-4.5,1986-2005,0.00,0.00,0.00
American Samoa,SSP2-4.5,2020-2039,0.00,0.00,0.00
American Samoa,SSP2-4.5,2040-2059,0.00,0.00,0.00
American Samoa,SSP2-4.5,2080-2099,0.00,0.00,0.00
Antarctica,SSP2-4.5,1986-2005,364.55,364.86,364.94
Antarctica,SSP2-4.5,2020-2039,363.69,364.79,364.98
Antarctica,SSP2-4.5,2040-2059,363.46,364.69,364.90
Antarctica,SSP2-4.5,2080-2099,363.21,364.46,364.88
French Southern Territories,SSP2-4.5,1986-2005,10.43,12.76,14.28
French Southern Territories,SSP2-4.5,2020-2039,3.44,7.65,11.75
French Southern Territories,SSP2-4.5,2040-2059,2.61,6.51,8.63
French Southern Territories,SSP2-4.5,2080-2099,1.03,3.13,5.53
